cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
PEIX02600;Rio do Peixe-UGRHI 21;Ponte na estrada que liga Caiabú a Mariápolis, 3km a montante da captação da SABESP de Presidente Prudente.;2011-01-01;NA;CAIABU;2132;21;3508900;Caiabu
PEIX02950;Rio do Peixe-UGRHI 21;Na Foz do Rio do Peixe,  800 m à jusante da Ponte de Arco, entre Panorama/ Capinal.;2020-01-01;NA;CAIUA;3396;21;3509106;Caiuá
PEIX02800;Rio do Peixe-UGRHI 21;Ponte na rodovia que liga Tupi Paulista à Presidente Venceslau.;1979-01-17;NA;DRACENA;196;21;3514403;Dracena
PEIX02100;Rio do Peixe-UGRHI 21;Ponte na rodovia que liga Marília a Assis.;1979-01-01;NA;MARILIA;191;21;3529005;Marília
ARPE02800;Reservatório do Arrependido;No reservatório do Rio Arrependido, na captação de Marília,;2001-01-01;NA;MARILIA;561;21;3529005;Marília
VEAD02950;Ribeirão do Veado;Ponte na Vicinal Pres. Epitácio/ Campinal;2018-01-01;NA;PRESIDENTE VENCESLAU;2654;21;3541505;Presidente Venceslau
STAN04400;Rio Santo Anastácio;Ponte sobre o Rio Sto.Anastácio, na divisa do  bairro do Cruzeiro com o bairro Boa Esperança.;2004-01-01;NA;ALVARES MACHADO;698;22;3501301;Álvares Machado
PIZI02900;Rio Pirapozinho;Ponte na Rod. SP-613, próximo ao km 13.;2016-01-01;NA;MIRANTE DO PARANAPANEMA;2550;22;3530201;Mirante Do Paranapanema
STAN02700;Rio Santo Anastácio;Ponte na rodovia que liga Presidente Venceslau a Teodoro Sampaio, SP 563.;1978-01-01;NA;PIQUEROBI;200;22;3538303;Piquerobi
PARN02750;Rio Paraná;Ponte na rodovia que liga Presidente Epitácio (SP) a Bataguaçú (MS);1996-07-24;2000-12-31;PRESIDENTE EPITACIO;197;22;3541307;Presidente Epitácio
PARN02740;Rio Paraná;Margem esquerda do Rio Paraná,  à jusante do Rio Santo Anastacio, próximo da Pousada Cururu, em Presidente Epitácio.;2016-10-01;NA;PRESIDENTE EPITACIO;2610;22;3541307;Presidente Epitácio
KAIU02950;Ribeirão CAIUÁ - UGRHI 22;Na ponte na vicinal SPV-71, próximo à Delegacia fluvial de Pres. Epitácio.;2018-01-01;NA;PRESIDENTE EPITACIO;2657;22;3541307;Presidente Epitácio
STAN02300;Rio Santo Anastácio;Ponte na Rod. Assis Chateaubriand. Rodovia que liga Presidente Prudente - Pirapozinho. Junto a régua do DAEE: 8D-002.;2014-01-01;NA;PRESIDENTE PRUDENTE;2334;22;3541406;Presidente Prudente
SALT02700;Ribeirão do Saltinho;Ponte na Rod. Euclides de Figueiredo, SP- 363 km  69, na divisa Piquerobi/ Pres. Venceslau;2016-01-01;NA;PRESIDENTE VENCESLAU;2294;22;3541505;Presidente Venceslau
VVEM04700;Ribeirão Vai-e-Vem;A aproximadamente 3,5 km a montante da confluência com o Rio Santo Anastácio.;2015-01-01;NA;SANTO ANASTACIO;2430;22;3547700;Santo Anastácio
PARP02750;Rio Paranapanema;Ponte 800m à jusante da barragem de Capivara.;1974-10-01;NA;TACIBA;192;22;3552908;Taciba
PARN02910;Rio Paraná;A jusante da Usina de Porto Primavera;2016-10-01;NA;ROSANA;2609;22;3544251;Rosana
PARN02900;Rio Paraná;Na barragem do reservatório de Porto Primavera.;1996-07-24;NA;ROSANA;198;22;3544251;Rosana
PARP02900;Rio Paranapanema;A jusante da barragem da Usina de Rosana, na rodovia SP-613.;1996-07-24;NA;ROSANA;199;22;3544251;Rosana
