cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
JPEP03500;Rio Jacaré-Pepira;Ponte na rodovia SP-255, no trecho que liga Jaú a Boa Esperança do Sul.;1979-01-03;NA;DOURADO;185;13;3514304;Dourado
JCGU03900;Rio Jacaré-Guaçu;Ponte na rodovia SP-304,no trecho que liga Ibitinga a Itajú.;1974-10-01;NA;IBITINGA;184;13;3519600;Ibitinga
LENS03950;Rio Lençóis;PONTE NA ROD. MACATUBA/ IGARAÇU DO TIETE, A 400 METROS DA SUA FOZ;2008-11-01;NA;IGARACU DO TIETE;1721;13;3520004;Igaraçu Do Tietê
BJAU03300;Braço do rio Jaú;Braço do Rio Jaú, na ponte da Marambaia na vicinal de Itapuí.;2016-01-01;NA;ITAPUI;1780;13;3522901;Itapuí
BROA02800;Represa do Broa;No corpo central, a 1km do final do Condomínio Santo Antônio;2017-01-01;NA;ITIRAPINA;2619;13;3523602;Itirapina
KERI02900;Ribeirão Itaqueri;500 m à jusante da confluencia com o Rib. Água Branca.;2018-01-01;NA;ITIRAPINA;2642;13;3523602;Itirapina
ABAN02800;Córrego Água Branca;Ponte na Rod. Mun. Ayrton Sena, a jusante da ETE de Itirapina;2016-07-25;NA;ITIRAPINA;2584;13;3523602;Itirapina
ABAN02790;Córrego Água Branca;A montante do Córrego do Limoeiro;2016-07-25;NA;ITIRAPINA;2592;13;3523602;Itirapina
JAHU02500;Rio Jaú;Ponte na Av. Galdino do Amaral Carvalho,junto a régua do DAEE 5D-029.;2014-01-01;NA;JAU;2302;13;3525300;Jaú
LENS02500;Rio Lençóis;Na Rua Quinze de Novembro, 1111, na captação do município de Lençóis Paulistas.;2001-01-01;NA;LENÇOIS PAULISTA;563;13;3526803;Lençóis Paulista
RGRA02990;Ribeirão Grande;PONTE NA ROD. AUGUSTO  SGAVIOLI, A 3 KM DA SUA FOZ NO RIO TIETE;2008-10-01;NA;PEDERNEIRAS;1722;13;3536703;Pederneiras
JCGU03200;Rio Jacaré-Guaçu;PONTE NA ESTRADA DE TERRA DO BAIRRO MALVINAS, A JUSANTE DO CÓR. SANTA RUFINA.;2011-01-01;NA;RIBEIRAO BONITO;2121;13;3542909;Ribeirão Bonito
MONJ04400;Rio Monjolinho;PONTE A JUSANTE DA ETE MONJILINHO;2011-01-01;NA;SÃO CARLOS;2134;13;3548906;São Carlos
GREI02750;Rio Guareí;Ponte no Bairro dos Diogos, em Angatuba, a jusante do Rib. dos Libanios.;2015-01-01;NA;ANGATUBA;2483;14;3502200;Angatuba
GREI02700;Rio Guareí;Ponte na Rod. SP 268, sentido Angatuba/Bairro do Aterradinho;2006-07-31;NA;ANGATUBA;1335;14;3502200;Angatuba
ITAP02800;Rio Itapetininga;Ponte na estrada ACT-290, no Bairro da Polenghi em Angatuba.;2003-01-01;NA;ANGATUBA;580;14;3502200;Angatuba
JURU02500;Reservatório Jurumirim;Ponte na rodovia SP-255, no trecho que liga Avaré a Itaí.;2001-05-05;NA;AVARÉ;368;14;3504503;Avaré
PALT04970;Ribeirão Ponte Alta;Na Ponte da E.F.Sorocabana, no Bairro Curuça 1, perto da  confluência com o rio Itapetininga.;2006-03-17;NA;ITAPETININGA;1334;14;3522307;Itapetininga
TURR02800;RIO Turvo- UGHRI 14;Ponte na Rod. SP-127, na altura do km 192, na divisa de São Miguel Arcanjo e Itapetininga, próximo da Régua do DAEE 5E-009.;2016-01-01;NA;ITAPETININGA;2523;14;3522307;Itapetininga
TAQR02400;Rio Taquari;Ponte na Rod. SP-249, que liga Itapeva a Itaberá. próximo à régua do DAEE 5E-002.;1979-01-01;NA;ITAPEVA;156;14;3522406;Itapeva
VERD02750;Rio Verde;Ponte na SP-255, na entrada da cidade de Itaporanga.;2013-01-01;NA;ITAPORANGA;2243;14;3522802;Itaporanga
ITAR02500;Rio Itararé;Ponte na rod. que liga Itaporanga a Santana do Itararé( PR), na divisa de São Paulo com Paraná.;1980-07-01;NA;ITAPORANGA;154;14;3522802;Itaporanga
BOIB02950;Córr. Boi Branco;Ponte a 200m da entrada da Faz. Boi Branco, no distrito Holambra II.;2018-01-01;NA;PARANAPANEMA;2532;14;3535804;Paranapanema
SMIG02800;Rio São Miguel Arcanjo;Ponte na estrada SP 250 (S.Miguel Arcanjo/Capão Bonito), na fazenda Pinhalzinho;2005-10-01;NA;SAO MIGUEL ARCANJO;1162;14;3550209;São Miguel Arcanjo
SMIG02500;Rio São Miguel Arcanjo;Ponte na  SP 268, na estrada vicinal para o bairro Santa Cruz, a montante da cidade de S.M Arcanjo;2005-10-01;NA;SAO MIGUEL ARCANJO;1163;14;3550209;São Miguel Arcanjo
GAPE02900;Lagoa do Guapé;No Parque Municipal de São Miguel Arcanjo;2005-10-01;NA;SAO MIGUEL ARCANJO;1164;14;3550209;São Miguel Arcanjo
PARP02100;Rio Paranapanema;Ponte na rodovia que liga Campina do Monte Alegre a Buri.;1978-09-01;NA;CAMPINA DO MONTE ALEGRE;264;14;3509452;Campina Do Monte Alegre
APIA02600;Rio Apiaí-Guaçu;Ponte na Rod. SP-258 (Francisco Alves Negrão), na altura do km 358.;2017-01-01;NA;TAQUARIVAI;2531;14;3553856;Taquarivaí
SDOM04300;Ribeirão São Domingos;A MONTANTE DA CIDADE DE CATANDUVA;2010-01-01;NA;CATANDUVA;2050;15;3511102;Catanduva
SDOM04500;Ribeirão São Domingos;Ponte na Rua J. Zancaner, em Catiguá. Junto a régua do DAEE 6C-008L.;1980-01-01;NA;CATIGUA;240;15;3511201;Catiguá
TURV02500;Rio Turvo - UGHRI 15;Ponte na rodovia que liga São José do Rio Preto a Olímpia.;1979-01-01;NA;GUAPIACU;241;15;3517505;Guapiaçu
GRDE02500;Rio Grande - UGRHI 08, 12 e 15;Ponte na rodovia BR-153, a jusante da Usina Hidréletrica Marimbondo na divisa com o Estado de Minas Gerais;1974-10-01;2000-12-31;ICEM;238;15;3519808;Icém
TURV02800;Rio Turvo - UGHRI 15;Ponte na estrada Municipal que liga Nova Granada a Samambaia, junto ao Posto DAEE 6B-009.;1974-10-01;NA;NOVA GRANADA;242;15;3533007;Nova Granada
CXEI02550;Rio da Cachoeirinha;Ponte na Estrada Antiga Estrada Boaideira.;2015-01-01;NA;OLIMPIA;2481;15;3533908;Olímpia
MATA04900;Córrego Matadouro - UGRHI 15;Ponte na rua Síria, no Jardim Glória, proximo da sua foz no Córrego Olhos Dágua.;2016-01-01;NA;OLIMPIA;2504;15;3533908;Olímpia
OLHO02690;Córrego dos Olhos d Água;Ponte na Rua Durval Brite, a montante do Córrego do Matadouro;2015-07-01;NA;OLIMPIA;2510;15;3533908;Olímpia
CXEI02900;Rio da Cachoeirinha;PONTE NA ESTRADA DE TERRA QUE LIGA OS DISTRITOS DE BAGUAÇU A RIBEIRO DOS SANTOS.;2011-01-01;NA;OLIMPIA;2122;15;3533908;Olímpia
PRET02800;Rio Preto - UGRHI 15;Ponte na rodovia que liga Américo de Campos a Palestina.;1974-10-01;NA;PALESTINA;237;15;3535002;Palestina
ONCA02500;Ribeirão da Onça (UGRHI15);Ponte na rodovia que liga Palmares Paulista a Paraíso.;1980-01-01;NA;PALMARES PAULISTA;239;15;3535101;Palmares Paulista
TURV02300;Rio Turvo - UGHRI 15;Ponte na vicinal  entre Paraíso e Monte Azul Paulista, junto a Régua do DAEE 5B-010.;2013-01-01;NA;PARAISO;2254;15;3535705;Paraíso
